"","study.accession","experiment.accession","source_name","cell.type","cell.subtype"
"193","SRP094414","SRX2388111","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"194","SRP094414","SRX2388157","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"195","SRP094414","SRX2388127","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"196","SRP094414","SRX2388125","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"197","SRP094414","SRX2388149","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"198","SRP094414","SRX2388159","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"199","SRP094414","SRX2388138","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"200","SRP094414","SRX2388166","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"201","SRP094414","SRX2388164","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"202","SRP094414","SRX2388106","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"203","SRP094414","SRX2388149","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"204","SRP094414","SRX2388168","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"205","SRP094414","SRX2388145","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"206","SRP094414","SRX2388157","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"207","SRP094414","SRX2388139","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"208","SRP094414","SRX2388122","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"209","SRP094414","SRX2388132","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"210","SRP094414","SRX2388166","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"211","SRP094414","SRX2388128","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"212","SRP094414","SRX2388147","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"213","SRP094414","SRX2388138","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"214","SRP094414","SRX2388130","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
