"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"104","SRP107198","SRX2831573","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"105","SRP107198","SRX2831637","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"106","SRP107198","SRX2831512","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"107","SRP107198","SRX2831617","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405842","100 nM"
"108","SRP107198","SRX2831494","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"109","SRP107198","SRX2831670","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"110","SRP107198","SRX2831521","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405845","1000 nM"
"111","SRP107198","SRX2831531","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"112","SRP107198","SRX2831557","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"113","SRP107198","SRX2831570","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"114","SRP107198","SRX2831489","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405846","1000 nM"
"115","SRP107198","SRX2831507","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","1000 nM"
"116","SRP107198","SRX2831658","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
